Publication Number,Title,Label
US20150050409A1,Processes for preparation of oil compositions,Non-Alchohol
US20150044351A1,Methods and compositions for milkshake preparation,Non-Alchohol
US20150044343A1,Carbonated beverage appliance,Non-Alchohol
US20150044330A1,Strains of Lactobacillus Rhamnosus GG Capable of Growth on Lactose and the Uses Thereof,Non-Alchohol
US20150044302A1,Compositions and methods for promoting appetite suppression using alkali metals,Non-Alchohol
US20150043302A1,Proportional mixing system,Non-Alchohol
US20150038589A1,Nutritional Product Comprising a Biguanide,Non-Alchohol
US20150037461A1,Method for producing fermented milk product using sterile full-fat soybean powder as starting material and fermented milk product,Non-Alchohol
US20150037460A1,Dairy product and process,Non-Alchohol
US20150033958A1,Juicer,Non-Alchohol
US20150031096A1,Multizymes and their use in making polyunsaturated fatty acids,Non-Alchohol
US20150030775A1,Enclosing Materials in Natural Transport Systems,Non-Alchohol
US20150030747A1,Effervescent beverage product and method relating to same,Non-Alchohol
US20150030737A1,Apparatus for Preparing a Temperature Sensitive Beverage,Non-Alchohol
US20150030723A1,Method for Producing an Acidified Milk Drink,Non-Alchohol
US20150030722A1,Method for producing an acidified milk product,Non-Alchohol
US20150030687A1,Use of Fermented Milk Product for Skin Treatment,Non-Alchohol
US20150024088A1,Device for dispensing carbonated water,Non-Alchohol
US20150024086A1,Method for reducing the content of pathogenic organisms present in food materials,Non-Alchohol
US20150023936A1,Strain of lactobacillus acidophilus having analgesic properties in the gastrointestinal system,Non-Alchohol
US20150017106A1,Agent for improving aroma intensity and/or aroma quality,Non-Alchohol
US20150014871A1,Soda machine pronged clamp,Non-Alchohol
US20150010683A1,Food sterilization method,Non-Alchohol
US20150007733A1,Juice extractor,Non-Alchohol
US20150004283A1,Method for making a two component beverage and associated two compartment container,Non-Alchohol
US20150004282A1,Dietary supplements containing caffeine and niacin,Non-Alchohol
US20150004147A1,Lactose Compositions With Decreased Lactose Content,Non-Alchohol
EP2731451A4,Methods and compositions for consumables,Non-Alchohol
EP2407170B1,Prevention and treatment of obesity and metabolic diseases induced by obesity using microorganisms,Non-Alchohol
EP2423290A4,Process for producing 1-menthyl (3s)-3-hydroxybutanoate and composition for stimulating sense,Non-Alchohol
EP2861751A1,Use of alpha-amylase from aspergillus clavatus for saccharification,Non-Alchohol
EP2374382B1,A process and an apparatus for preparing a beverage under controlled pressure conditions,Non-Alchohol
EP2866029A1,"Method for preparing sample containing pancreatic juice component, and kit for storing biological sample containing pancreatic juice component at room temperature",Non-Alchohol
EP2355667B1,An integrated method and system for dispensing beverage ingredients,Non-Alchohol
EP2485626B1,Method for preparing a beverage from a beverage powder and apparatus for implemeting the method,Non-Alchohol
EP2657256B1,Method for regenerating crosslinked beta-cyclodextrin with cholesterol entrapped therein,Non-Alchohol
EP2398450B1,Aqueous nanoemulsion composition containing conjugated linoleic acid,Non-Alchohol
EP2057907B1,Carbonated beverage and method of producing carbonated beverage,Non-Alchohol
EP2442695B1,Capsule and system for preparing a beverage comprising soluble substance,Non-Alchohol
EP1909590B1,Automatic flavoring dispenser for automated espresso machine,Non-Alchohol
EP2592953B1,Automatic distributor for juices extracted from fresh fruit,Non-Alchohol
EP1432321B1,Granules and powders for instant drinks which are prepared using an extrusion cooking method,Non-Alchohol
EP2589567B1,Carbonated water manufacturing device,Non-Alchohol
EP2027864B1,Composition for improvement of lipid metabolism,Non-Alchohol
EP2682018B1,Citrus juice machine,Non-Alchohol
EP2242373B1,Use of l. casei ssp. paracasei as antifungal agent,Non-Alchohol
EP1839504B2,In situ preperation of whey protein micelles,Non-Alchohol
EP2305838B1,"Bifidobacteria that produces folic acid, food composition and use of said bifidobacteria",Non-Alchohol
EP2876169A1,Association LMKK P1401 and method for obtaining fermented non-alcoholic polyfunctional synbiotic beverages,Non-Alchohol
EP2875758A1,Juicer,Non-Alchohol
EP2874509A2,Red composition obtained from quince juice,Non-Alchohol
EP2793618A4,Methods for purifying steviol glycosides and uses of the same,Non-Alchohol
EP2580966A4,Method for preventing carotenoid dye from adhering to container,Non-Alchohol
EP2418959A4,Novel microalgal food compositions,Non-Alchohol
EP2872014A2,A masticating separator for separating fruit or vegetable juice from fruit or vegetable pulp,Non-Alchohol
EP2871979A1,Method and apparatus for aseptically dosing and preparing food materials,Non-Alchohol
EP2871969A1,Ph adjusted pulse protein product,Non-Alchohol
EP2735616A4,Production method for casein-derived peptides by lactic acid fermentation,Non-Alchohol
EP2869720A1,Use of tryptophan rich protein hydrolysates,Non-Alchohol
EP2810567A4,Juice-extraction module for juicing apparatus,Non-Alchohol
EP2868208A1,"Method for the preparation of a low-hygroscopic, dried extract of a vitamin C rich fruit or vegetable species",Non-Alchohol
EP2866588A1,Nanogel comprising water-soluble active ingredients,Non-Alchohol
EP2866587A1,Method to enhance swallowing safety and appeal of beverages for treating dysphagia based on rheological and sensory parameters,Non-Alchohol
EP2866575A2,An aroma milk composition comprising diacetyl and uses thereof,Non-Alchohol
EP2866574A2,Electric household yogurt-maker suitable for cold and/or hot environments,Non-Alchohol
EP2766026A4,Prevention and diagnosis of visceral fat,Non-Alchohol
EP2865745A1,Carbonated beverage containing hops oxidation reaction product extract,Non-Alchohol
EP2865744A1,Beverage containing aqueous medium extract of hops used in oxidation,Non-Alchohol
EP2863933A1,Fruit derived juice with low levels of potassium for patients with chronic kidney disease,Non-Alchohol
EP2863929A1,Probiotic and polyphenol against neurodegeneration,Non-Alchohol
EP2863783A2,Blender with elevator assembly and removable spindle,Non-Alchohol
EP2863755A1,Fermented milk product,Non-Alchohol
EP2620083A4,Sealing structure of juice extractor,Non-Alchohol
EP2863227A1,Means and methods for metabolic differentiation of non-alcoholic steatohepatitis from liver disease,Non-Alchohol
EP2861521A2,Beverage dispensing apparatus with a carbonation system,Non-Alchohol
EP2741648A4,Combination juicer blender,Non-Alchohol
EP2717876A4,Methods of inhibiting muscle atrophy,Non-Alchohol
EP2569415A4,Fermentation process of a substrate using a mixed culture for the production of an edible biomass for animal and/or human consumption,Non-Alchohol
EP2496099A4,Mineral fortification substance for clear beverages,Non-Alchohol
EP2860268A1,,Non-Alchohol
EP2859098A1,Polypeptides having transgalactosylating activity,Non-Alchohol
EP2859097A1,Alpha-amylase variants derived from the alpha amylase of cytophaga sp.amylase (cspamy2).,Non-Alchohol
EP2809175A4,"Method of, and apparatus for, making frozen beverages, ice cream and other frozen confections",Non-Alchohol
EP2772712A3,Refrigerator equipped with apparatus for producing carbonated water,Non-Alchohol
EP2734049A4,Probiotic compositions and methods,Non-Alchohol
EP2578091A4,Method for improving storage stability of protein drink,Non-Alchohol
EP2322193A4,Xanthine oxidase inhibitor and uric acid production inhibitor,Non-Alchohol
EP2857027A1,Probiotic strains for use in improving the enteric nervous system,Non-Alchohol
EP2855674A1,Variants of chymosin with improved milk-clotting properties,Non-Alchohol
EP2772714A3,Refrigerator equipped with apparatus for producing carbonated water,Non-Alchohol
EP2772713A3,Refrigerator and method of controlling the same,Non-Alchohol
EP2752120A4,"Sweetener having sugar-like sweetness, and food and beverage using same",Non-Alchohol
EP2731599A4,Compositions and methods for modulating metabolic pathways,Non-Alchohol
EP2566346A4,Production of soluble protein solutions from pulses,Non-Alchohol
EP2853593A1,"Hydrolases, nucleic acids encoding them and mehods for making and using them",Non-Alchohol
EP2852308A1,An electrical appliance for processing a beverage,Non-Alchohol
EP2852298A2,Composition and method for management of diabetes or pre-diabetes,Non-Alchohol
EP2772710A3,Refrigerator equipped with apparatus for producing carbonated water,Non-Alchohol
EP2772708A3,Refrigerator and method of controlling the same,Non-Alchohol
EP2702873A4,Tea beverage and production method therefor,Non-Alchohol
EP1900285A4,Fermented food containing bifidobacterium bacteria and method for producing the same,Non-Alchohol
EP2766027A4,Raising and diagnosing of serotonin level,Non-Alchohol
EP2355671A4,Improving perceptional characteristics of beverages,Non-Alchohol
EP2846642A1,"Container for preparing liquid yoghurt in a yoghurt maker, and yoghurt maker comprising at least one such container",Non-Alchohol
EP2811035A3,Compositions for detecting alicyclobacillus microorganisms,Non-Alchohol
EP2719371A3,"""Alcohol-free 'Eau de Cologne"""" substitute product        """,Non-Alchohol
EP2845495A1,Soluble oat or barley flour and method of making utilizing enzymes,Non-Alchohol
EP2696839A4,Oil-in-water emulsions comprising a polyunsaturated fatty acid and methods of making the same,Non-Alchohol
EP2818538A3,Method of manufacturing plant finished product,Non-Alchohol
EP2757151A4,Method for inhibiting protease in biological sample containing pancreatic juice component,Non-Alchohol
EP2725913A4,Beverage compositions comprising soy whey proteins that have been isolated from processing streams,Non-Alchohol
EP2348895A4,Frozen pellets made with juice,Non-Alchohol
EP2838799A2,Systems and methods for maintaining red meat,Non-Alchohol
EP2725038A4,Pectic polysaccharide and method for producing same,Non-Alchohol
EP2836077A1,New fermented dairy product comprising microcapsules and process for preparing the same,Non-Alchohol
EP2554053A4,Ice cream or ice cream-like product and method for producing same,Non-Alchohol
EP2674163A4,Skin collagen production promoter,Non-Alchohol
EP2641472A4,Fermented milk with reduced sourness and method for producing same,Non-Alchohol
EP2827960A2,Removal of alcohol from potable liquid using vacuum extraction,Non-Alchohol
EP2724627A4,Method for improving aftertaste of carbonated beverage,Non-Alchohol
EP2572590A4,Aldehyde removing composition,Non-Alchohol
EP2166874A4,"Microencapsulating compositions, methods of making, methods of using and products thereof",Non-Alchohol
EP2129231A4,Formulations of lipophilic bioactive molecules,Non-Alchohol
EP1716001A4,Printing on edible substrates,Non-Alchohol
EP2822404A1,Dietary supplement,Non-Alchohol
WO2015061028A1,D-psicose in zero or low calorie frozen beverages,Non-Alchohol
WO2015048001A3,A method for assessing juice/cider quality and/or safety,Non-Alchohol
WO2015038349A1,Coating compositions for shell eggs,Non-Alchohol
WO2015033118A1,Improvements in or relating to carbonated beverages,Non-Alchohol
WO2015030875A2,Slow and citrus juicer combination,Non-Alchohol
WO2015025288A2,Beverage packaging configuration with a short-fill level for mixed drinks,Non-Alchohol
WO2015006588A9,Faucet-integrated carbonation systems and methods,Non-Alchohol
WO2015009481A3,"Par-baked and milled coffee beans for use in foods, beverages and dietary supplements",Non-Alchohol
WO2015063017A1,Method for citrus fruit processing,Non-Alchohol
WO2015055775A1,"Multilayer microcapsules containing an oxidizable active, and a process for preparing the same",Non-Alchohol
WO2015014490A1,Method for reducing the saccharide content in concentrated juices,Non-Alchohol
WO2015007791A1,Streptococcus thermophilus strains,Non-Alchohol
WO2015000580A3,Enzymatic fermentation process,Non-Alchohol
WO2015075473A1,Food and beverage products comprising allulose (psicose),Non-Alchohol
WO2015074499A1,Method for producing fermented honey beverage and products thereof,Non-Alchohol
WO2014193218A9,Process of extraction of phytochemicals from vegetation liquors of oil-bearing fruits,Non-Alchohol
WO2015071478A1,FRUIT JUICE COMPRISING β-GLUCAN AND A HYDROCOLLOID,Non-Alchohol
WO2015068790A1,Fermented milk showing suppressed increase in acidity and method for producing same,Non-Alchohol
WO2015068078A1,Device for preparing an emulsified hot beverage,Non-Alchohol
WO2015067559A1,Heteropolysaccharides,Non-Alchohol
WO2015066970A1,Juicer having usb connector,Non-Alchohol
WO2015066767A1,Therapeutic compositions,Non-Alchohol
WO2015066490A1,Prevention and treatment of non-alcoholic fatty liver disease,Non-Alchohol
WO2015065887A1,Beverage additives and fermented beverages comprising a fluorescent protein,Non-Alchohol
WO2015063577A1,Flavoured insert,Non-Alchohol
WO2015063476A1,Method of preparing an alkalized carob,Non-Alchohol
WO2015063282A1,Use of algae to increase the viable active biomass of lactic acid bacteria,Non-Alchohol
WO2015063094A1,Machine and system for preparing a cooled food product with aerated or whipped texture in controlled manner,Non-Alchohol
WO2015062392A1,Selenium-rich wheat whole-sprout juice beverage and method for preparation thereof,Non-Alchohol
WO2015060374A1,"Process for producing processed cooked rice, and processed cooked rice",Non-Alchohol
WO2015059690A1,Polynucleotides encoding brex system polypeptides and methods of using s ame,Non-Alchohol
WO2015059248A1,"High protein denatured whey protein composition, related products, method of production and uses thereof",Non-Alchohol
WO2015059243A1,"Cmp-containing, high protein denatured whey protein compositions, products containing them, and uses thereof",Non-Alchohol
WO2015056770A1,"New lactic acid bacterium, natural immunostimulant having new lactic acid bacterium as active ingredient, and food or drink containing new lactic acid bacterium",Non-Alchohol
WO2015055897A1,A method of producing an aerated dairy product and an aerated dairy product,Non-Alchohol
WO2015053539A1,Juicer capable of adjusting amount of pulp,Non-Alchohol
WO2015053379A1,Compositions and methods for treating non-alcoholic steatohepatitis,Non-Alchohol
WO2015053336A1,Anti-fatigue composition,Non-Alchohol
WO2015053281A1,"Crosslinked product of carboxymethyl-group-containing modified hyaluronic acid and/or salt thereof, and method for producing same",Non-Alchohol
WO2015053280A1,Carboxymethyl-group-containing modified hyaluronic acid and/or salt thereof and/or production method for carboxymethyl-group-containing modified hyaluronic acid and/or salt thereof,Non-Alchohol
WO2015052749A1,Fat-soluble-substance-containing powder composition and method for manufacturing same,Non-Alchohol
WO2015052315A2,Method for decolorization of sugar solution using enzymes,Non-Alchohol
WO2015052149A1,Dry mixture in particulate form for preparation of liquid foods with dispersed gas bubbles,Non-Alchohol
WO2015051429A1,"Container for storing soft drinks, popcorn and the like",Non-Alchohol
WO2014207557A3,Soluble beverage mass,Non-Alchohol
WO2014178644A3,Method for producing instant rice for suppressing rise in blood sugars by containing indigestible maltodextrin,Non-Alchohol
WO2014152558A3,Flavor system and method for making beverages,Non-Alchohol
WO2015048163A1,(6z)-non-6-enenitrile as a fragrance and flavor material,Non-Alchohol
WO2015046279A1,"Method for manufacturing vegetable/fruit juice with no enzyme deactivation, and vegetable/fruit juice obtained thereby",Non-Alchohol
WO2015046183A1,Glycoamino acid and use thereof,Non-Alchohol
WO2015044292A1,Gene therapy compositions for use in the prevention and/or treatment of non-alcoholic fatty liver disease,Non-Alchohol
WO2015044224A1,Clear liquid formulations and clear beverages containing them,Non-Alchohol
WO2015043326A1,Glucan beverage and preparation method therefor,Non-Alchohol
WO2015042475A1,Life enhancing beverages,Non-Alchohol
WO2015041194A1,Method for producing fermented milk having improved physical properties,Non-Alchohol
WO2015040135A1,Obtaining a juice of fresh plants by thermomechanical treatment and cosmetic and therapeutic use thereof,Non-Alchohol
WO2015039511A1,Mold ripened cheese and preparation method thereof,Non-Alchohol
WO2015039166A1,Improved fruit and vegetable juicer,Non-Alchohol
WO2014188275A3,Colorant compounds derived from genipin or genipin containing materials,Non-Alchohol
WO2015037720A1,Muscle repair promoter,Non-Alchohol
WO2015037719A1,Bodily moisture retaining agent,Non-Alchohol
WO2015037648A1,Freshness-maintaining agent having reduced off-flavor,Non-Alchohol
WO2015036516A1,"Internal mix atomizing spray nozzle assembly, process and product",Non-Alchohol
WO2015035489A1,Method for solubilizing and potentiating essential oils in order to improve the flavour of mineral water or a flavoured liquid preparation,Non-Alchohol
WO2015034068A1,Method for producing beverage,Non-Alchohol
WO2015033056A1,"Method for extracting juice and/or coulis, and device implementing such a method",Non-Alchohol
WO2015032787A1,"Capsule, method and system for preparing a viscous beverage or food product",Non-Alchohol
WO2015032008A1,Device for mixing and/or homogenizing at least one liquid product,Non-Alchohol
WO2015031940A1,Safety feature for fruit and vegetable juicer,Non-Alchohol
WO2015003995A3,Method and device for providing a composition containing hyaluronic acid,Non-Alchohol
WO2014201037A3,Methods for manipulating immune responses by altering microbiota,Non-Alchohol
WO2015031637A1,Nutritional composition having lipophilic compounds with improved solubility and bioavailability,Non-Alchohol
US9012694B2,Process for the production of alcohols,Alchohol
US9012188B2,Conditioning of SO2-ethanol-water spent liquor for fermentation by clostridia,Alchohol
US9010952B2,Liquor bottle and cap therefor,Alchohol
US8987530B2,Production of alcohols having at least four carbon atoms from carbonaceous materials,Alchohol
US8981165B2,Production of alcohols having three carbon atoms from carbonaceous materials,Alchohol
US8980599B2,Method for the production of alcohol from a pretreated lignocellulosic feedstock,Alchohol
US8980595B2,In situ production of furfural in a controlled amount in an alcohol production unit from a lignocellulosic biomass,Alchohol
US8968805B2,Method for brewing beer,Alchohol
US8967407B2,Plastic beer keg,Alchohol
US20150096697A1,Method for separating lignin from black liquor,Alchohol
US8940129B2,Process for reducing one or more insoluble solids in a black liquor,Alchohol
US8932845B2,Highly productive isopropyl alcohol-producing bacterium,Alchohol
US8931396B2,Method for the removal of sediment from sparkling wines,Alchohol
US20150125906A1,Methods of Hydrolyzing Oligomers in Hemicellulosic Liquor,Alchohol
US20150141704A1,"Method for the production of aliphatic alcohols and/or their ethers, in particular, 1-octanol",Alchohol
US20150141358A1,Reduced toxicity in alcoholic beverages,Alchohol
US20150133698A1,Production of fatty alcohols from engineered microorganisms,Alchohol
US20150128809A1,Home beer brewing carboy,Alchohol
US20150119559A1,Method for lignin separation from black liquor,Alchohol
US20150109143A1,Draft beer supply chain systems and methods,Alchohol
EP2860334A2,A liquor bottle security device,Alchohol
US20150083880A1,Novelty wine bottle holder,Alchohol
US20150079255A1,Wine pump-over device,Alchohol
US20150075738A1,Method for lignin separation from black liquor involving multiple acidification steps,Alchohol
US20150072044A1,Process for Producing Beer,Alchohol
US20150059872A1,Apparatus for preventing beer stone formation and gas-induced foamy beer-spurting phenomenon,Alchohol
US20150053622A1,Method to treat flushing liquor systems in coke plants,Alchohol
US20150052790A1,"Identification system for beer fonts, growlers, and wine bottles",Alchohol
US20150051064A1,Polyvinylpyrrolidone (pvp) for enhancing the activity and stability of platinum-based electrocatalysts,Alchohol
US20150046471A1,Systems and methods for evaluation of wine characteristics,Alchohol
EP2865278A1,Fat binder obtained from biomass resulting from beer production,Alchohol
EP2862624A1,"Method for separating the surfactants present in the washing liquors of corn, and uses",Alchohol
EP2861064A1,Producing solids and related mother liquors,Alchohol
EP2753750A4,Process for treating hardwood black liquor and hardwood black liquor treated according to the process,Alchohol
EP2723939A4,Method for lignin separation from black liquor comprising multiple acidification steps,Alchohol
EP2850374A2,"Contact arrangement and refrigerator, freezer or wine storage cabinet",Alchohol
EP2845641A1,Permselective asymmetric membranes with high molecular weight polyvinylpyrrolidone,Alchohol
EP2844108A1,"Holding device for a support element of a cabinet and refrigerator, freezer or wine storage cabinet",Alchohol
EP2511857A3,Cork for wine bottles and the like,Alchohol
EP2841555A1,Wort evaporation device,Alchohol
EP2726671A4,Method for lignin separation from black liquor comprising removal of sulphur compounds from formed water effluent,Alchohol
EP2829610A1,Method for obtaining polyhydroxyalkanoates from beer-industry wastewater,Alchohol
WO2015038215A1,Wine aerator,Alchohol
WO2014193218A9,Process of extraction of phytochemicals from vegetation liquors of oil-bearing fruits,Alchohol
WO2015064779A1,"Method for preparing koji, homemade liquor kit using koji, and method for preparing liquor using same",Alchohol
WO2015064748A1,Citrus fruit infused liquor,Alchohol
WO2015060008A1,"Method for improving alcoholic feeling of beverage having beer taste, and beverage having beer taste and method for producing same",Alchohol
WO2015058556A1,Network connected wine decanter appliance for oxidizing wine,Alchohol
WO2015035423A3,Deterring abuse of pharmaceutical products and alcohol,Alchohol
WO2015055977A1,A wine oxygenation device,Alchohol
WO2015055341A1,"Method and cooling system for transferring heat from a medium to a heat transfer medium in a method for producing food, preferably in the production of beverages, in particular in the production of beer; and corresponding uses",Alchohol
WO2015049353A1,Method for production of beer,Alchohol
WO2015001243A3,"Method and installation for preparing a drink, particularly wine, for tasting",Alchohol
WO2015034601A1,Fluid composition comprising crosslinked polyvinylpyrrolidone for oil field applications,Alchohol
WO2015032850A1,Method for production of brewers wort,Alchohol
WO2014202223A3,"Method for the controlled application of a dyeing liquor to a yarn, a yarn bundle, or a textile web",Alchohol
WO2015028464A1,Wine cellar with a lighting device,Alchohol
WO2015021823A1,Use of lipopeptide compound for improving aroma of alcoholic beverages and determination method thereof,Alchohol
CN104651348A,Induced mutation method of ribonucleic acid-enriched saccharomyces cerevisiae,Alchohol
CN104651214A,Wine cellar for health care wine cellaring,Alchohol
CN104651197A,Vatica mangachapoi Blanco wine production method,Alchohol
CN104651196A,Pitaya wine production method,Alchohol
CN104651195A,Simple and convenient pawpaw wine processing method,Alchohol
CN104651194A,Orange wine production process,Alchohol
CN104651193A,"Apple wine having brain reinforcing effect, and production process thereof",Alchohol
CN104651192A,Brewing process of double-seed wine,Alchohol
CN104651191A,Health liquor for curing spleen-stomach disharmony and preparation method of health liquor,Alchohol
